tid,toi,toidisplay,tfopwg_disp,disposition_group,target_confirmed_planet,target_label_name,pl_orbper,pl_rade,st_tmag,st_teff,st_rad,missing_feature_count,missing_feature_names,rowupdate,release_date,planet_probability,priority_score
88863718,1001.01,TOI-1001.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.9316462,11.2154,9.42344,7070.0,2.01,0,,2023-04-03 14:31:04,2026-05-15 16:14:29,0.06,0.22741374361579386
65212867,1007.01,TOI-1007.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.9989206,14.7752,8.87759,6596.0,2.7,0,,2021-10-29 12:59:15,2026-05-15 16:14:29,0.405,0.40561052101061273
107782586,1009.01,TOI-1009.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.9600277,,8.4331,8868.7,,2,pl_rade;st_rad,2024-01-17 10:08:02,2026-05-15 16:14:29,0.02,0.18491835417965613
114018671,1011.01,TOI-1011.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.4705036,1.44656,8.2388,5413.7,0.94,0,,2026-01-26 16:00:01,2026-05-15 16:14:29,0.795,0.6481802107482117
427508467,1012.01,TOI-1012.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,0.884182,24.8132,8.12718,8928.0,2.72,0,,2023-03-10 12:02:48,2026-05-15 16:14:29,0.04,0.23165900647461915
341420329,1019.01,TOI-1019.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.2341008,24.2931408,10.6348,7645.0,1.56203,0,,2024-02-16 10:08:02,2026-05-15 16:14:29,0.125,0.24647416185451063
20318757,1027.01,TOI-1027.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.2834565,2.87648,10.2103,4272.0,0.68,0,,2023-06-05 12:03:22,2026-05-15 16:14:29,0.825,0.6012431756285537
20318757,1027.02,TOI-1027.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,11.02875,2.76586,10.2103,4272.0,0.68,0,,2024-09-01 12:02:56,2026-05-15 16:14:29,0.885,0.6308333044065985
20318757,1027.03,TOI-1027.03,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.0113292,2.52314,10.2103,4272.0,0.68,0,,2023-06-05 12:03:22,2026-05-15 16:14:29,0.88,0.628759441317933
146589986,1032.01,TOI-1032.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.6643704,14.7738943,9.7611,10395.0,2.3383701,0,,2024-01-17 10:08:02,2026-05-15 16:14:29,0.11,0.24851343145749033
361413119,1035.01,TOI-1035.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.0744477,30.9493217,10.1126,5964.0,2.4303801,0,,2025-07-09 16:00:02,2026-05-15 16:14:29,0.14,0.2596437116776535
146172354,1036.01,TOI-1036.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.7795212,5.98375,10.2855,5771.0,1.18,0,,2023-05-05 16:02:01,2026-05-15 16:14:29,0.335,0.35537703875287274
461867584,1039.01,TOI-1039.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,4.420125,,8.5483,,,3,pl_rade;st_teff;st_rad,2023-05-05 16:02:01,2026-05-15 16:14:29,0.02,0.16685598862847673
463402815,1044.01,TOI-1044.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.0085089,,10.0031,5215.2,,2,pl_rade;st_rad,2023-05-11 16:02:02,2026-05-15 16:14:29,0.04,0.17778648428685564
421894914,1056.01,TOI-1056.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.3079507,3.0486928,9.6663,6124.3,1.36963,0,,2024-03-14 16:54:32,2026-05-15 16:14:29,0.585,0.487076351300455
323132914,1057.01,TOI-1057.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,51.1701501,2.9366826,9.4091,5599.0,0.943356,0,,2024-12-05 16:02:02,2026-05-15 16:14:29,0.89,0.6398843708941948
31553893,1058.01,TOI-1058.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,11.1296441,12.8402271,9.3781,5785.0,3.4475601,0,,2024-04-25 10:08:01,2026-05-15 16:14:29,0.29,0.34240596857503
380783252,1059.01,TOI-1059.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,9.4496506,17.0216,9.7825,5509.0,0.94,0,,2023-10-16 16:02:02,2026-05-15 16:14:29,0.17,0.27807177779770487
101230735,1060.01,TOI-1060.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,2.0685633,3.89739,9.6652,5687.9,1.14,0,,2023-10-16 16:02:02,2026-05-15 16:14:29,0.255,0.32226016669256197
406976746,1063.01,TOI-1063.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,10.0665238,2.7272824,9.0689,5552.0,0.791742,0,,2025-07-09 16:00:02,2026-05-15 16:14:29,0.955,0.6783866689345818
327301957,1074.01,TOI-1074.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,13.9428705,2.4233421,10.6339,5206.0,0.741671,0,,2024-09-19 10:08:01,2026-05-15 16:14:29,0.765,0.5662343364507291
369960846,1077.01,TOI-1077.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.6062693,12.6436029,13.461,5192.0,0.984326,0,,2024-03-14 16:54:32,2026-05-15 16:14:29,0.825,0.5657395504987008
379240073,1079.01,TOI-1079.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.1644075,14.8814743,13.1284,6519.0,1.7234,0,,2024-02-29 10:08:02,2026-05-15 16:14:29,0.68,0.4967945511822722
