tid,toi,toidisplay,tfopwg_disp,disposition_group,target_confirmed_planet,target_label_name,pl_orbper,pl_rade,st_tmag,st_teff,st_rad,missing_feature_count,missing_feature_names,rowupdate,release_date,planet_probability,priority_score
397362481,6276.03,TOI-6276.03,PC,candidate_for_prediction,,to_be_predicted_after_model_training,7.8708661,1.0314874,6.7213,4633.87,0.630715,0,,2025-04-21 12:03:49,2026-05-15 16:14:29,0.975,0.8332446989709742
320847025,6978.01,TOI-6978.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,9.1258136,0.9704787,7.5621,4747.13,0.750709,0,,2025-01-16 12:03:04,2026-05-15 16:14:29,0.94,0.8065333685208473
418343229,6662.01,TOI-6662.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,0.2939493,0.9372852,10.8861,3359.0,0.33188,0,,2024-12-04 12:02:50,2026-05-15 16:14:29,0.965,0.7800341012201949
198187049,2069.01,TOI-2069.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.9214229,1.0470381,7.9726,5268.0,0.823126,0,,2024-01-16 12:02:50,2026-05-15 16:14:29,0.89,0.7760636366479329
438260486,5084.01,TOI-5084.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.8321337,1.15554,7.564,4544.0,0.75,0,,2024-01-03 10:08:03,2026-05-15 16:14:29,0.91,0.7740757804632485
408416746,4324.01,TOI-4324.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.2509468,1.1306823,9.75311,3479.0,0.395397,0,,2024-02-16 10:08:02,2026-05-15 16:14:29,0.93,0.7649465637403725
231728511,864.01,TOI-864.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,0.520671,1.0047438,11.4966,3460.0,0.39861,0,,2024-12-05 16:02:02,2026-05-15 16:14:29,0.925,0.7572783495197826
336961891,4642.01,TOI-4642.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.6022377,1.1671855,11.9847,3266.0,0.242091,0,,2024-09-27 12:02:45,2026-05-15 16:14:29,0.975,0.7560271875281065
286712787,5159.02,TOI-5159.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.6469454,1.0301459,8.6739,5259.0,0.854084,0,,2025-01-11 12:03:18,2026-05-15 16:14:29,0.86,0.754679785772904
286763141,6284.01,TOI-6284.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.4475935,0.830466,9.72334,3548.0,0.47,0,,2024-05-08 12:03:16,2026-05-15 16:14:29,0.935,0.7525985695561663
446157122,6245.01,TOI-6245.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.2149937,0.9044272,12.133,3106.0,0.236457,0,,2024-10-23 12:03:04,2026-05-15 16:14:29,0.94,0.7486005493911162
319482278,7695.01,TOI-7695.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,7.2728976,1.1628169,7.7558,5385.0,0.874585,0,,2026-03-06 12:03:41,2026-05-15 16:14:29,0.865,0.7479024436263444
459837008,2267.02,TOI-2267.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.0344366,0.901106,12.2591,3022.0,0.242745,0,,2025-04-25 12:03:21,2026-05-15 16:14:29,0.94,0.7464031342828255
300710077,789.01,TOI-789.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.4470648,1.1245064,11.9802,3471.0,0.37114,0,,2024-12-05 16:02:02,2026-05-15 16:14:29,0.935,0.7442300134135942
377097547,5507.01,TOI-5507.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.5068165,0.9740062,10.8055,3514.0,0.356879,0,,2025-05-03 12:03:17,2026-05-15 16:14:29,0.885,0.7441459801632619
112115898,6716.01,TOI-6716.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,4.718569,1.0102426,11.7735,3190.0,0.226654,0,,2024-01-23 12:02:45,2026-05-15 16:14:29,0.89,0.739958523605809
271596225,797.03,TOI-797.03,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.7309449,1.0182347,11.7144,3704.0,0.473702,0,,2024-02-23 10:08:02,2026-05-15 16:14:29,0.895,0.7394817892493951
468983280,5489.02,TOI-5489.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,4.9212788,1.2783897,11.6923,3547.0,0.415961,0,,2024-09-25 10:08:01,2026-05-15 16:14:29,0.985,0.7389811752820883
166145361,6599.01,TOI-6599.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.2059167,1.0369208,11.9686,3087.0,0.202097,0,,2023-08-16 12:02:56,2026-05-15 16:14:29,0.9,0.7383217498948189
248769312,7063.01,TOI-7063.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.7570477,1.41479,8.8868,5263.0,0.83,0,,2024-10-12 12:03:02,2026-05-15 16:14:29,0.97,0.7339892196364344
